Time,x
307,-1.5552730090507585
308,-1.5554335227076528
309,-1.5370973849291258
310,-1.53943868695619
311,-1.5442299848388588
312,-1.5314467013519386
313,-1.5287271476633044
314,-1.5292143971364884
315,-1.5436330740980477
316,-1.5351225865388154
317,-1.5380417915444935
318,-1.532287759425676
319,-1.5488378378106238
320,-1.5482325091225244
321,-1.545443948646493
322,-1.5468498978567022
323,-1.5417537430704398
324,-1.5528484734829038
325,-1.543707869309472
326,-1.5589536442543692
327,-1.5527745221165365
328,-1.5415497067533541
329,-1.5458439448450165
330,-1.5435646852698344
331,-1.5558448258839268
332,-1.5522277912266063
333,-1.550383608607124
334,-1.540959002377901
335,-1.543348467827816
336,-1.5477996567968715
337,-1.5469936354493052
338,-1.5549638430031067
339,-1.5457615055235663
340,-1.5437365808420185
341,-1.551853463650007
342,-1.5490792847195145
343,-1.5411821911961439
344,-1.5332674845365275
345,-1.5428462009377422
346,-1.53255845979523
347,-1.5419174484667084
348,-1.541898245975374
349,-1.5419951406114896
350,-1.5497608650402523
351,-1.536308017080784
352,-1.5459134742984726
353,-1.5531062105703684
354,-1.5465505895072145
355,-1.5450484180524255
356,-1.5531828390305629
357,-1.5413614956208996
358,-1.5465748856736665
359,-1.5333682362743277
360,-1.5522405981434315
361,-1.5563819385305133
362,-1.5545919986693648
363,-1.5583843954123153
364,-1.5707828795938792
365,-1.5690538237063731
366,-1.5519443365811405
367,-1.5561844960950209
368,-1.5475453186714563
369,-1.542281817467871
370,-1.5219038100354143
371,-1.5337896527538522
372,-1.5419867458377015
373,-1.545485290579045
374,-1.5536656080423998
375,-1.5388046222091891
376,-1.5443765102097182
377,-1.555223615626355
378,-1.545853294937543
379,-1.5495127015637682
380,-1.551715671745297
381,-1.540414575349559
382,-1.5481591485939845
383,-1.5442126177088313
384,-1.5343860387581898
385,-1.5546879581992006
386,-1.55327640916684
387,-1.5483016845367525
388,-1.5553751497143096
389,-1.560129391759262
390,-1.5375715135818238
391,-1.5282830331833197
392,-1.5287521603657785
393,-1.5429717695279528
394,-1.548028414650448
395,-1.5351920535757275
396,-1.555977545788661
397,-1.5673819987891737
398,-1.5513596339394387
399,-1.550748899040027
400,-1.55926731782658
401,-1.5569671548644275
402,-1.5555385961591541
403,-1.5505684924756475
404,-1.5412277834206005
405,-1.550295363269155
406,-1.5585104207423726
407,-1.5394540984744396
408,-1.5280131462641882
409,-1.5236120679166147
410,-1.542730161737865
411,-1.523740387284424
412,-1.526638680321201
413,-1.5292443844515249
414,-1.536757683810956
415,-1.5281221185454417
416,-1.5381549216430639
417,-1.5448799029271572
418,-1.5487743118491262
419,-1.5534653190644834
420,-1.5499592007680125
421,-1.548515171074651
422,-1.5548943871543088
423,-1.550233774575823
424,-1.5369494899509188
425,-1.5425059539167831
426,-1.545413540000191
427,-1.5391039430204942
428,-1.5511454891271876
429,-1.5542420775624983
430,-1.5474893025553833
431,-1.5453336529079504
432,-1.5287847581600693
433,-1.5453907590716602
434,-1.5359212995878375
435,-1.554376892837369
436,-1.5491962941930144
437,-1.55224548387683
438,-1.543338207744972
439,-1.5582820843388714
440,-1.5475661201278146
441,-1.5468826770803141
442,-1.5685167718583033
443,-1.559525294234408
444,-1.556399400504345
445,-1.5311853129870827
446,-1.5459561642453261
447,-1.5351192040074089
448,-1.524839220670698
449,-1.5327075828602525
450,-1.5321535962135255
451,-1.5384862939116437
452,-1.5626170970371625
453,-1.5424261153302026
454,-1.5273324795439172
455,-1.5394399899041387
456,-1.5412808123416815
457,-1.533114705688177
458,-1.5347323618576294
459,-1.5412753096193768
460,-1.5471011504139485
461,-1.5294634597970587
462,-1.5259981768603224
463,-1.5469599111858388
464,-1.5449177792031796
465,-1.5379295927463952
466,-1.5372746617247413
467,-1.542406928763063
468,-1.5565276678716482
469,-1.5319226335003209
470,-1.5396571370581342
471,-1.5464584175868255
472,-1.5407317382951753
473,-1.5461874472157124
474,-1.5429989648152727
475,-1.5515187124307774
476,-1.5441755360723375
477,-1.551905818757236
478,-1.5496111475010614
479,-1.550164873846392
480,-1.5281408155700344
481,-1.5504886882847781
482,-1.5425850833243457
483,-1.5495356474729367
484,-1.5381025409869653
485,-1.547299934973006
486,-1.547342956704693
487,-1.5327160410560452
488,-1.5383866231676817
489,-1.5420317248397888
490,-1.55222039416637
491,-1.5515248459242668
492,-1.5326811693689275
493,-1.544512375944255
494,-1.5515706375760203
495,-1.5661702339516843
496,-1.5652050716099064
497,-1.5443759009134295
498,-1.5430857488182184
499,-1.543531191775183
